Brand,Category,Type
"BREWMATIC 58100267 KNOCK BOX 6"" X 5.5"" X 4",Espresso Accessories,Expendable
GEE 5897769 SPRING TAMPER AND EXTENSION,Espresso Accessories,Expendable
"HBE, 231623, GLASS DECANTER 4/CS",In_Room,Expendable
"HBE, 231625, GLASS DECANTER (EURO) 4/CS",In_Room,Expendable
"FETCO, 58100851, L4D-15 1.5GL LUXUS THRML DISP",Coffee Dispensers,Expendable
"FETCO, 58100850, L4D-10 1 GL LUXUS THRML DISP",Coffee Dispensers,Expendable
SER IDEA 5880773 SS100 - S.S. 1- LTR. STEEL VAC CARAFES (SOLD IN A CASE OF 6),Coffee Dispensers,Expendable
SER IDEA 5885951 SS70 - STAINLESS .7 LITER - STEEL VAC CARAFES,Coffee Dispensers,Expendable
"SER IDEA 5889873 ECAL22S - 2.2-LITER AIRPOT S.S. EXTERIOR, GLASS INTERIOR",Airpots,Expendable
BREWMATIC 6000668 DRIP PAN BLACK - 1 EA NEEDS TO BE ORDERED FOR EACH BREWMATIC AIRPOT RACK POSITION,Misc,Expendable
BREWMATIC 6000669 SCREEN DRIP PAN BLACK - 1 EA NEEDS TO BE ORDERED FOR EACH BREWMATIC AIRPOT RACK POSITION,Misc,Expendable
"10165, 58102610, TEA TOTE STAND 6#",Misc,Expendable
"9898, 58102773, TEA DISPENSER LINER,3 GAL(150 cs)",Tea Dispensers,Expendable
"CURTIS, 58100578, TWN COMBO: CBHT: COMBO BREWER",Iced Tea,Equipment
"CURTIS, 58100601, COMBO: CBHS COMBO BREWER",Iced Tea,Equipment
"REDMAN USA, 58100623, 6PC TEA RACK-BAMBOO",Racks,Expendable
Notes must include manufacturer and model information,Special Instructions Equipment - See Notes,Expendable
"HKG, 58102748, TECHNIBREW K-CUP TRAY",In_Room,Expendable
"HIGH BREW, 58103335, COLD BREW COOLER FOR CANS, SIGNED AGREEMENT REQUIRED",Cold Brew,Equipment
"SPECIALTY SCHAERER, 58102499, COFFEE ART PLUS TOUCH 2 STEP ESPRESSO",Espresso,Equipment
"CURTIS, 5899366, 6 SELECTION ILGD-10 7.5 LB TWIN HOPPERS DIG. INT.",Grinders,Equipment
"SPECIALTY SCHAERER, 58103367, BTC MDL 52 (WITH HW BTN) COFFEE ART C HC 3 GRIND, 208v",Bean To Cup,Expendable
"SPECIALTY SCHAERER, 58103370, BTC MDL 53 (WITH HW BTN, GRNDS KIT) COFFEE ART C HC 3 GRIND, 208v",Bean To Cup,Expendable
"Schaerer, 58103371, Grounds Container",Bean To Cup,Expendable
"Schaerer, 58103372, Guide UC Grounds Container",Bean To Cup,Expendable
"Schaerer, 58103373, Reduction D125/90 PL Black",Bean To Cup,Expendable
"NEWCO, 58103341, Cafe Espresso 2.0, 110v",Espresso,Equipment
"Newco, 58103378, Milk Thermos",Espresso,Equipment
"Newco, 58103379, Mini Milk Frig",Espresso,Equipment
"NEWCO, 58103354, Bistro Touch Liquid Specialty Coffee Machine, 110v",Liquid Coffee,Equipment
"CURTIS, 58103283, 1GL AIRPOT S/S TLXA0101S000",Airpots,Expendable
"Boyds, 58102796, 3 Tier Syrup Rack",Racks,Expendable
"AK ltd., 58102793, 4 Tier Condiment Rack",Racks,Expendable
"SPECIALTY SPECIALTY Franke, 58103381, S700 2-Step Auto Espresso, 2 Bean Hoppers, 208v/30a",Espresso,Equipment
"SPECIALTY SCHAERER, 58103334, BTC MDL 71 (CARAFE) COFFEE ART C HC 3 GRIND, 208v",Bean To Cup,Expendable
"SPECIALTY FRANKE, 58103389, A1000 FLEX W/70009846, 70009122 AND 70009124",Espresso,Equipment
SPECIALTY FRANKE A600 1 STEP ESPRESSO W/70009367 AND 70008763,Espresso,Equipment
"VALUE AIRPOT, 58103288, 2.2L SS GLASS",Airpots,Expendable
"VALUE AIRPOT, 58103289, 2.2L BLACK PLASTIC GLASS",Airpots,Expendable
"VALUE SERVER, 58103287, 1.5G W/ SIGHT GLASS",Coffee Dispensers,Expendable
"Newco, 58103396, LCD-2 METAL DOOR 2 Product, 110v",Liquid Coffee,Equipment
